22 4 68 84 59 62 61 87 52 57 90 53 11 77 23 42 65 72 10 14 79 39 51 28 8 86 88 92 70 60 75 44 55 7 56 30 37 26 35 21 0 63 49 1 80 16 71 47 78 5 12 20 54 34 31 46 19 40 25 50 48 45 9 43 85 17 27 81 67 2 76 64 6 69 29 13 89 36 66 91 73 33 32 41 83 82 18 3 15 38 74 24 58 
13 55 11 18 2 76 31 15 23 86 68 10 29 89 12 92 39 26 41 17 72 20 59 80 51 43 42 25 69 37 46 0 36 88 1 21 48 85 24 53 8 27 58 33 56 16 84 91 44 40 19 77 78 34 38 4 45 62 6 64 74 28 14 22 71 30 35 50 75 73 65 3 70 61 79 32 49 81 7 90 83 47 57 66 5 54 82 52 67 9 63 87 60 
27 26 55 82 53 33 9 18 28 20 5 17 50 86 47 0 54 1 81 69 32 14 59 4 25 70 76 35 24 31 66 12 75 49 60 62 30 44 22 90 78 51 88 39 74 36 77 79 38 37 45 63 11 43 68 56 67 87 19 65 21 91 83 64 23 8 61 85 13 2 89 3 40 58 7 48 73 34 46 6 71 42 92 84 57 52 41 29 72 80 16 10 15 
19 34 31 65 30 14 24 45 3 57 4 48 92 85 84 88 2 79 72 39 53 28 15 20 51 33 90 27 16 5 21 86 81 89 40 76 68 13 64 35 43 23 63 37 59 42 52 74 87 70 55 26 91 77 22 18 41 71 60 46 50 0 8 6 78 11 12 44 49 38 25 73 62 32 7 17 56 58 54 66 80 36 47 10 83 82 69 61 29 67 75 1 9 
57 70 80 46 84 61 49 83 5 64 37 62 88 43 35 67 50 45 24 44 66 8 85 48 30 0 90 41 51 77 72 18 11 15 65 20 40 23 13 68 63 17 73 53 27 78 16 47 31 69 81 28 59 25 7 29 22 4 79 38 91 87 82 52 58 60 71 2 89 6 10 9 56 75 86 19 32 21 33 36 55 74 14 1 42 26 39 76 12 54 92 3 34 
27 57 23 18 38 77 60 89 20 52 14 59 30 49 44 31 72 76 4 51 80 90 42 33 11 22 9 87 53 29 3 19 35 21 62 28 0 40 64 16 85 88 79 54 83 58 12 7 45 5 74 82 68 32 78 34 65 86 39 47 50 1 81 55 56 41 37 46 2 8 10 24 66 91 70 71 67 61 73 17 84 36 26 48 15 25 69 63 6 92 43 75 13 
46 35 14 74 34 60 51 64 44 59 67 83 31 22 49 63 88 3 66 1 85 36 71 19 30 21 77 72 54 9 7 65 86 42 41 78 8 79 87 76 11 10 80 73 28 84 75 70 47 12 26 58 40 24 37 91 0 45 15 4 20 69 82 90 50 2 32 17 68 62 33 55 53 48 5 61 56 13 23 81 6 18 52 29 43 27 89 39 25 57 38 16 92 
17 52 56 18 88 6 5 23 50 33 91 87 83 80 90 49 13 40 21 1 85 38 71 19 30 57 77 72 27 9 7 65 86 42 41 78 8 20 51 76 11 16 53 74 37 45 32 47 25 84 58 82 10 12 22 43 61 24 69 26 66 62 34 4 39 29 55 14 67 0 59 81 60 35 75 3 68 44 64 28 70 92 73 79 2 89 36 54 48 15 31 46 63 
37 57 49 41 27 60 47 78 44 59 56 83 31 23 42 1 7 3 66 6 12 30 28 74 38 17 88 35 71 50 53 70 14 36 22 39 65 75 87 25 18 52 77 9 19 0 5 84 2 51 20 82 15 62 43 16 73 46 34 26 58 45 67 8 72 80 29 91 86 21 33 61 4 11 90 55 68 10 64 24 69 92 85 79 13 89 81 54 48 40 76 32 63 
2 0 90 83 50 29 48 4 15 24 82 7 11 77 34 31 65 85 10 14 79 39 51 28 44 8 88 92 84 60 21 86 81 89 40 76 68 13 64 35 43 23 63 37 59 42 52 74 87 70 55 26 91 53 22 18 41 69 36 58 38 27 12 47 62 17 32 54 45 30 72 9 20 61 75 46 56 1 57 78 19 16 33 73 25 71 5 80 6 3 49 66 67 
